planta,flora nome,flora status,plant nome,plant status,comparacao
Dicliptera ciliaris,Dicliptera ciliaris Juss.,nome aceito,Dicliptera ciliaris Juss.,nome aceito,igual
Dyschoriste maranhonis,none,none,none,none,igual
Hygrophila costata,none,none,none,none,igual
Hygrophila guianensis,none,none,none,none,igual
Hygrophila helodes,none,none,none,none,igual
Justicia comata,none,none,none,none,igual
Justicia aequilabris,none,none,none,none,igual
Justicia laevilinguis,none,none,none,none,igual
Justia pectoralis,none,none,none,none,igual
Nelsonia brunelloides,none,none,none,none,igual
Ruellia bahiensis,none,none,none,none,igual
Ruellia paniculata,none,none,none,none,igual
Sesuvium portulacastrum,none,none,none,none,igual
Echinodorus andrieuxii,none,none,none,none,igual
Echinodorus argentinensis,none,none,none,none,igual
Echinodorus aschersonianus,none,none,none,none,igual
Echinodorus bolivianus,none,none,none,none,igual
Echinodorus cordifolius,none,none,none,none,igual
Echinodorus floribundus,none,none,none,none,igual
Echinodorus glandulosus,none,none,none,none,igual
Echinodorus grandiflorus,none,none,none,none,igual
Echinodorus grisebachii,none,none,none,none,igual
Echinodorus lanceolatus,none,none,none,none,igual
Echinodorus longipetalus,none,none,none,none,igual
Echinodorus longiscapus,none,none,none,none,igual
Echinodorus macrophyllus,none,none,none,none,igual
Echinodorus palaefolius,none,none,none,none,igual
Echinodorus paniculatus,none,none,none,none,igual
Echinodorus pubescens,none,none,none,none,igual
Echinodorus ranunculoides,none,none,none,none,igual
Echinodorus reticulatus,none,none,none,none,igual
Echinodorus scaber,none,none,none,none,igual
Echinodorus subalatus,none,none,none,none,igual
Echinodorus tenellus,none,none,none,none,igual
Echinodorus teretoscapus,none,none,none,none,igual
Helanthium tenellum,none,none,none,none,igual
Hydrocleys martii,none,none,none,none,igual
Hydrocleys nymphoides,none,none,none,none,igual
Hydrocleys parviflora,none,none,none,none,igual
Limnocharis flava,none,none,none,none,igual
Limnocharis laforestii,none,none,none,none,igual
Sagittaria guayanensis,none,none,none,none,igual
Sagittaria lancifolia,none,none,none,none,igual
Sagittaria montevidensis,none,none,none,none,igual
Sagittaria planitiana,none,none,none,none,igual
Sagittaria rhombifolia,none,none,none,none,igual
Sagittaria sprucei,none,none,none,none,igual
Alstroemeria isabellana,none,none,none,none,igual
Alternanthera aquatica,none,none,none,none,igual
Alternanthera brasiliana,none,none,none,none,igual
Alternanthera paronychioides,none,none,none,none,igual
Alternanthera philoxeroides,none,none,none,none,igual
Alternanthera pilosa,none,none,none,none,igual
Alternanthera tenella,none,none,none,none,igual
Amaranthus spinosus,none,none,none,none,igual
Amaranthus viridis,none,none,none,none,igual
Atriplex montevidensis,none,none,none,none,igual
Atriplex undulata,none,none,none,none,igual
Blutaparon portulacoides,none,none,none,none,igual
Chamissoa altissima,none,none,none,none,igual
Chenopodium ambrosioides,none,none,none,none,igual
Gomphrena demissa,none,none,none,none,igual
Gomphrena elegans,none,none,none,none,igual
Hebanthe paniculata,none,none,none,none,igual
Pfaffia glomerata,none,none,none,none,igual
Pfaffia pulverulenta,none,none,none,none,igual
Pfaffia iresinoides,none,none,none,none,igual
Salicornia ambigua,none,none,none,none,igual
Salicornia gaudichaudiana,none,none,none,none,igual
Crinum americanum,none,none,none,none,igual
Hyppeastrum angustifolium,none,none,none,none,igual
Schinus terenbinthifolius,none,none,none,none,igual
Centella asiatica,none,none,none,none,igual
Eryngium ebracteatum,none,none,none,none,igual
Eryngium eburneum,none,none,none,none,igual
Eryngium ekmanii,none,none,none,none,igual
Eryngium pandanifolium,none,none,none,none,igual
Hydrocotyle ranunculoides,none,none,none,none,igual
Hydrocotyle verticillata,none,none,none,none,igual
Lilaeopsis attenuata,none,none,none,none,igual
Lilaeopsis brasiliensis,none,none,none,none,igual
Lilaeopsis carolinensis,none,none,none,none,igual
Lilaeopsis tenuis,none,none,none,none,igual
Allamanda cathartica,none,none,none,none,igual
Allamanda nobilis,none,none,none,none,igual
Ditassa hastata,none,none,none,none,igual
Mandevilla clandestina,none,none,none,none,igual
Mandevilla hirsuta,none,none,none,none,igual
Mandevilla tenuifolia,none,none,none,none,igual
Odontadenia nitida,none,none,none,none,igual
Oxypetalum pachyglossum,none,none,none,none,igual
Oxypetalum tubatum,none,none,none,none,igual
Rhabdadenia biflora,none,none,none,none,igual
Rhabdadenia madida,none,none,none,none,igual
Rhabdanenia pohlii,none,none,none,none,igual
Alocasia macrorrhiza,none,none,none,none,igual
Colocasia esculenta,none,none,none,none,igual
Dracontium longipes,none,none,none,none,igual
Landoltia punctata,none,none,none,none,igual
Lemna aequinoctialis,none,none,none,none,igual
Lemna gibba,none,none,none,none,igual
Lemna minuta,none,none,none,none,igual
Lemna valdiviana,none,none,none,none,igual
Montrichardia arborescens,none,none,none,none,igual
Montrichiardia linifera,none,none,none,none,igual
Philodendron brasiliense,none,none,none,none,igual
Philodendron rudgeanum,none,none,none,none,igual
Pistia stratioides,none,none,none,none,igual
Spirodela intermedia,none,none,none,none,igual
Urospatha sagittifolia,none,none,none,none,igual
Wolffia arrhiza,none,none,none,none,igual
Wolffia brasiliensis,none,none,none,none,igual
Wolffia columbiana,none,none,none,none,igual
Wolffiella lingulata,none,none,none,none,igual
Wollffiella oblonga,none,none,none,none,igual
Wolffiella welwitschii,none,none,none,none,igual
Xanthosoma aristiguietae,none,none,none,none,igual
Zantedeschia aethiopica,none,none,none,none,igual
Hydrocotyle bonariensis,none,none,none,none,igual
Hydrocotyle leucocephala,none,none,none,none,igual
Hydrolotyle pussilla,none,none,none,none,igual
Hydrocotyle ranunculoides,none,none,none,none,igual
Hydrocotyle verticillata,none,none,none,none,igual
Bactris maraja,none,none,none,none,igual
Mauritia carana,none,none,none,none,igual
Mauritiella armata,none,none,none,none,igual
Aristolochia macroura,none,none,none,none,igual
Roullinia montevidensis,none,none,none,none,igual
Acanthospermum australe,none,none,none,none,igual
Acanthospermum hispidum,none,none,none,none,igual
Achyrocline alata,none,none,none,none,igual
Acilepdopsis echitifolia,none,none,none,none,igual
Acmella uliginosa,none,none,none,none,igual
Adenostemma brasilianum,none,none,none,none,igual
Ageratum conyzoides,none,none,none,none,igual
Ambrosia artemisiaefolia,none,none,none,none,igual
Aster squamatus,none,none,none,none,igual
Baccharis microcephala,none,none,none,none,igual
Baccharis penningtonii,none,none,none,none,igual
Baccharis spicata,none,none,none,none,igual
Baccharis usteri,none,none,none,none,igual
Baccharidastrum triplinerve,none,none,none,none,igual
Barrosoa betonicaeformis,none,none,none,none,igual
Bidens laevis,none,none,none,none,igual
Blainvillea dichotoma,none,none,none,none,igual
Centratherum punctatum,none,none,none,none,igual
Calea marginata,none,none,none,none,igual
Campuloclinium purpurascens,none,none,none,none,igual
Chaptalia graminifolia,none,none,none,none,igual
Chrysolaena platensis,none,none,none,none,igual
Clibadium amanii,none,none,none,none,igual
Conyza bonariensis,none,none,none,none,igual
Conyza sumatrensis,none,none,none,none,igual
Cotula coronopifolia,none,none,none,none,igual
Delilia biflora,none,none,none,none,igual
Eclipta megapotamica,none,none,none,none,igual
Eclipta prostrata,none,none,none,none,igual
Egletes viscosa,none,none,none,none,igual
Elephantopus mollis,none,none,none,none,igual
Emilia coccinea,none,none,none,none,igual
Emilia sonchifolia,none,none,none,none,igual
